,price,value,hold,hold_price
158,1683.3673417105163,3.0,0,-1
159,1679.15892335624,3.0,0,-1
160,1674.9610260478494,3.0,0,-1
161,1670.7736234827298,3.0,0,-1
162,1666.596689424023,3.0,0,-1
163,1662.430197700463,3.0,0,-1
164,1658.2741222062118,3.0,0,-1
165,1654.1284369006962,3.0,0,-1
166,1649.9931158084446,3.0,0,-1
167,1645.8681330189233,3.0,0,-1
168,1641.753462686376,3.0,0,-1
169,1637.64907902966,3.0,0,-1
170,1633.554956332086,3.0,0,-1
171,1629.471068941256,3.0,0,-1
172,1625.3973912689028,3.0,0,-1
173,1621.3338977907304,3.0,0,-1
174,1617.2805630462535,3.0,0,-1
175,1613.237361638638,3.0,0,-1
176,1609.2042682345416,3.0,0,-1
177,1605.1812575639551,3.0,0,-1
178,1601.1683044200452,3.0,0,-1
179,1597.1653836589949,3.0,0,-1
180,1593.1724701998473,3.0,0,-1
181,1589.1895390243476,3.0,0,-1
182,1585.2165651767866,3.0,0,-1
183,1581.2535237638447,3.0,0,-1
184,1577.3003899544349,3.0,0,-1
185,1573.3571389795488,3.0,0,-1
186,1569.4237461321,3.0,0,-1
187,1565.5001867667697,3.0,0,-1
188,1561.5864362998527,3.0,0,-1
189,1557.6824702091033,3.0,0,-1
190,1553.7882640335804,3.0,0,-1
191,1549.9037933734965,3.0,0,-1
192,1546.0290338900627,3.0,0,-1
193,1542.1639613053374,3.0,0,-1
194,1538.308551402074,3.0,0,-1
195,1534.4627800235687,3.0,0,-1
196,1530.6266230735098,3.0,0,-1
197,1526.800056515826,3.0,0,-1
198,1522.9830563745365,3.0,0,-1
199,1519.1755987336003,3.0,0,-1
200,1515.3776597367664,3.0,0,-1
201,1511.5892155874244,3.0,0,-1
202,1507.8102425484558,3.0,0,-1
203,1504.0407169420846,3.0,0,-1
204,1500.2806151497293,3.0,0,-1
205,1496.529913611855,3.0,0,-1
206,1492.7885888278252,3.0,0,-1
207,1489.0566173557556,3.0,0,-1
208,1485.3339758123661,3.0,0,-1
209,1481.6206408728353,3.0,0,-1
210,1477.9165892706533,3.0,0,-1
211,1474.2217977974767,3.0,0,-1
212,1470.5362433029832,3.0,0,-1
213,1466.8599026947256,3.0,0,-1
214,1463.1927529379889,3.0,0,-1
215,1459.534771055644,3.0,0,-1
216,1455.885934128005,3.0,0,-1
217,1452.246219292685,3.0,0,-1
218,1448.6156037444534,3.0,0,-1
219,1444.9940647350925,3.0,0,-1
220,1441.3815795732548,3.0,0,-1
221,1437.7781256243218,3.0,0,-1
222,1434.183680310261,3.0,0,-1
223,1430.5982211094854,3.0,0,-1
224,1427.0217255567115,3.0,0,-1
225,1423.45417124282,3.0,0,-1
226,1419.895535814713,3.0,0,-1
227,1416.3457969751762,3.0,0,-1
228,1412.8049324827382,3.0,0,-1
229,1409.2729201515313,3.0,0,-1
230,1405.7497378511523,3.0,0,-1
231,1402.2353635065242,3.0,0,-1
232,1398.7297750977577,3.0,0,-1
233,1395.2329506600133,3.0,0,-1
234,1391.744868283363,3.0,0,-1
235,1388.2655061126547,3.0,0,-1
236,1384.794842347373,3.0,0,-1
237,1381.3328552415048,3.0,0,-1
238,1377.879523103401,3.0,0,-1
239,1374.4348242956426,3.0,0,-1
240,1370.9987372349033,3.0,0,-1
241,1367.571240391816,3.0,0,-1
242,1364.1523122908363,3.0,0,-1
243,1360.7419315101092,3.0,0,-1
244,1357.3400766813338,3.0,0,-1
245,1353.9467264896305,3.0,0,-1
246,1350.5618596734064,3.0,0,-1
247,1347.1854550242228,3.0,0,-1
248,1343.8174913866624,3.0,0,-1
249,1340.4579476581957,3.0,0,-1
250,1337.1068027890503,3.0,0,-1
251,1333.7640357820776,3.0,0,-1
252,1330.4296256926225,3.0,0,-1
253,1327.103551628391,3.0,0,-1
254,1323.78579274932,3.0,0,-1
255,1320.4763282674467,3.0,0,-1
256,1317.1751374467779,3.0,0,-1
257,1313.8821996031609,3.0,0,-1
258,1310.597494104153,3.0,0,-1
259,1307.3210003688926,3.0,0,-1
260,1304.0526978679702,3.0,0,-1
261,1300.7925661233003,3.0,0,-1
262,1297.5405847079921,3.0,0,-1
263,1294.2967332462222,3.0,0,-1
264,1291.0609914131066,3.0,0,-1
265,1287.833338934574,3.0,0,-1
266,1284.6137555872376,3.0,0,-1
267,1281.4022211982694,3.0,0,-1
268,1278.1987156452738,3.0,0,-1
